﻿Spotify URI,Track Name,Artist Name,Album Name,Game
spotify:track:4NaenoSr625cZXfHS54svP,Keep Hope Alive (There is Hope Mix),The Crystal Method,Keep Hope Alive EP,FIFA
spotify:track:2GcohsY7KcXXzGUBujsHfS,Now Is The Time (The Olympic Mix),The Crystal Method,Keep Hope Alive EP,FIFA
spotify:track:0AtrWUDq5l0fP4xh7xMqER,More,The Crystal Method,Keep Hope Alive EP,FIFA
spotify:track:5rDsAMjmB4Qa5WNciJPsfK,Tubthumping,Chumbawamba,Playlist: 90s Pop,FIFA
spotify:track:0OJ3iSa0gHbmar91N80vVa,Soul Beat Runna,Boymerang,Balance Of The Force,FIFA
spotify:track:5C7rx6gH1kKZqDUxEI6n4l,Absurd,Fluke,Risotto,FIFA
spotify:track:5NvDtubbA9WlaPZyJhridt,Rockafeller Skank,Fatboy Slim,Why Try Harder - Greatest Hits,FIFA
spotify:track:0edY6zhaW175XhZjACDZQd,Passion - Harley Mix,Gearwhore,Drive,FIFA
spotify:track:3Ymr7QiCcj0bn0K0fWfrfD,It's Only Us,Robbie Williams,I've Been Expecting You,FIFA
spotify:track:47Wv7knmg7C9ISkSuTcxo3,Stop the Rock - Apollo 440 Mix,Apollo 440,Stop The Rock,FIFA
spotify:track:7rtwnz5CCbvjI0K48aOCv7,Joy !,Gay Dad,Leisure Noise,FIFA
spotify:track:29zM5UkD4YEwGykKeoKIKw,Call It Brisco (And Why Not?),Elite Force,Elite Force Back Catalogue,FIFA
spotify:track:6SJ1hWFVBIiUgGgHKvwXCQ,Sell Out,Reel Big Fish,Turn The Radio Off,FIFA
spotify:track:0yf6LL8DG9hOB84qjCtoFj,Campione 2000 - Radio Version,E-Type,Campione 2000 - The Official Euro 2000 Anthem,FIFA
spotify:track:3O8H3HOCwGiae4zMMFpD0h,Bodyrock,Moby,Play,FIFA
spotify:track:1QByHUlJi6mpE4pqsJ4dnA,Chinese Burn (Lunatic Calm mix),Curve,Stormbreaker (Alex Rider: Operation),FIFA
spotify:track:1PpfeNl5uYRBhfFcig2Uz6,19-2000 - Soulchild Remix,Gorillaz,Gorillaz,FIFA
spotify:track:5VQdGVDJ8OWgTiKR91Gwxo,Never Gonna Come Back Down,BT,Movement In Still Life,FIFA
spotify:track:1Ib6x6ScfwNthS3XI4STNP,Energy Flow - Original Radio Edit,Vitae,Energy Flow,FIFA
spotify:track:1ep1y1YezR6nku99DSuXtV,Stop & Panic,Cirrus,Stop & Panic,FIFA
spotify:track:4BLD1W39LhsbokW5KNU3BW,Das Glockenspiel - DJ Taucher Remix,"Schiller, Torsten Stenzel, Ralph-Armand Beck",Synergy II - The Story Continues,FIFA
spotify:track:4uIFFTZU4vnhiIneg1hqfY,Flight 643,Tiësto,In My Memory,FIFA
spotify:track:68HzSVilfVyQon2p0dO0ka,Anthem - JS Radio Edit - 2002 FIFA World Cup (TM) Official Anthem - Radio Edit,"Vangelis, Blake Neely, Heikki Liimatainen, Jaakko Salovaara",Vangelis: Anthem - The 2002 FIFA World Cup (TM) Official Anthem (Commercial Single),FIFA
spotify:track:7FhMo3HBdR6CC5PMBVQoN3,In My Mind,Antiloop,LP,FIFA
spotify:track:5k68G0l4XbYskcczLtgPLs,Hide U,Kosheen,Resist,FIFA
spotify:track:4OvQIyLAMQ8zfK06ojH6Ns,Pride,Kosheen,Resist,FIFA
spotify:track:2xBAg5gZi3lDEwHAwPycwB,Real Fonky Time,Dax Riders,Back In Town,FIFA
spotify:track:2l4dPZLFZnZeTX8ATmoJKZ,Dy-Na-Mi-Tee,Ms. Dynamite,Dy-na-mi-tee,FIFA
spotify:track:022X40ctU5PIHD8YUjS9qZ,Played-A-Live (The Bongo Song),Safri Duo,The Remix Edition - Episode II (Danish Version),FIFA
spotify:track:2sF6nQq7n3VTrPpXsAyF6L,Independent,Sportfreunde Stiller,Die gute Seite,FIFA
spotify:track:0TZZ3QTUpsD43PPIK69QbF,You Held the World in Your Arms,Idlewild,Scottish Fiction: Best of 1997 - 2007,FIFA
spotify:track:5o4cq6gKFAbR1V7wITwB7n,Complicated,Avril Lavigne,Under My Skin/Let Go,FIFA
spotify:track:1Hd8LnDfCZltoUvuwDl6ZC,Rise To The Challenge,Asian Dub Foundation,Enemy Of The Enemy (Remastered),FIFA
spotify:track:1bx7OUl2UmAnA5oZkm9If7,Jerk It Out,Caesars,Jerk It Out,FIFA
spotify:track:1QyFSRGkrHQ3Wbh50s9wCZ,Eo,Café Tacvba,Cuatro Caminos,FIFA
spotify:track:5e3p0Kc30jhG8Q6yBJHKQh,"Promises, Promises","The Cooper Temple Clause, Dan Austin, Ger McDonnal","Kick Up The Fire, And Let The Flames Break Loose",FIFA
spotify:track:7hpFYWL3cw5m4y70cce7Zb,We Used To Be Friends,The Dandy Warhols,Welcome To The Monkey House,FIFA
spotify:track:1MrkOpb9so0o9UwGN93sfW,Train,Goldfrapp,Black Cherry,FIFA
spotify:track:1KP1j8sCQADCc8eXrtAUP6,A Town Called Malice,The Jam,The Matador (Original Motion Picture Soundtrack),FIFA
spotify:track:2rRY9uu2SQge80Ifw58cfU,Rain Down on Me,Kane,What If,FIFA
spotify:track:4KByCMUzfWmvXAO7ILudGb,L.S.F.,Kasabian,Kasabian,FIFA
spotify:track:5nbVi62Tuwj465QksHK7GM,Red Morning Light,Kings of Leon,Youth And Young Manhood,FIFA
spotify:track:55QvdRy6h9fQVIelyKLMPx,Myxomatosis,Radiohead,Hail To The Thief,FIFA
spotify:track:5ZWhnzVwZEsp2gycOYspsy,Fools Gold,The Stone Roses,Discover The Stone Roses,FIFA
spotify:track:0yVj72pY228T2CAFwPCj1x,Gute Laune feat. Tweed,Tosca,Dehli 9,FIFA
spotify:track:0mr34YS5FIX0b2mi03HuhE,Já Sei Namorar - 2004 Digital Remaster,Tribalistas,Tribalistas,FIFA
spotify:track:2XKyWH41T3Apqobe2v6Mis,Se Despierta la Ciudad,Vicentico,Vicentico,FIFA
spotify:track:4fx7FB9fD76i3vs1QkFDAd,Guten Tag,Wir Sind Helden,Wir Sind Helden EP,FIFA
spotify:track:2aDmbSoIbSKCVANB6lUbYV,Deixa A Vida Me Levar,Zeca Pagodinho,Caipirinha,FIFA
spotify:track:6JIaX4lt9rq4AUaTPcaOLA,Baby's Come Back,Span,Mass Distraction (International version),FIFA
spotify:track:7FQ7UEIXE1r4n4Y8RafgZt,Watermelon,The Boxer Rebellion,EXITS,FIFA
spotify:track:5LKrnWz88JvrwSkn0iUAhX,Do You Love Yourself?,The Glitterati,The Glitterati,FIFA
spotify:track:0mWlJcd4eChkQpA6SMubKy,Forca,Nelly Furtado,Folklore,FIFA
spotify:track:6paVSZ5YpNPZcahxniLphq,Come Let Me Know,Freq Nasty,Bring Me The Head Of Freq Nasty,FIFA
spotify:track:0RFduQOfkrP1jhoV0m8US2,Surfing on a Rocket,Air,Talkie Walkie,FIFA
spotify:track:43g2ib0KbDmCk4a2YlnWlZ,Miss Evening,Mañana,Fast Days,FIFA
spotify:track:1i8EiDN3czk8lDYEiyCXQO,No Roots,Faithless,No Roots,FIFA
spotify:track:7wIIgaCXzgWbiyIsTEh1vK,To Youth (My Sweet Roisin Dubh),Flogging Molly,Within a Mile of Home,FIFA
spotify:track:7FyleHL9CFHSvmo8sG0CdT,Tell Her Tonight,Franz Ferdinand,Franz Ferdinand,FIFA
spotify:track:576XUDULdb8N0VhuQGoCOS,Vive La Vida - Remix,Gusanito,Gusanito - Grandes Éxitos,FIFA
spotify:track:0pufN3jW0d6cQK9R9wtiKo,Brooklyn Is Burning,Head Automatica,Decadence,FIFA
spotify:track:6Vpz7VZy5FsMUv6rrYPvn1,Sorte Grande - Ao Vivo,Ivete Sangalo,Multishow Ao Vivo - Ivete No Maracanã - Áudio Das 9 Faixas Exclusivas Do DVD,FIFA
spotify:track:2QENRyrYLpWtMWDen92RsV,A Necessidade,José Nando,fifa 2005,FIFA
spotify:track:6ldYxsCoLSrCXv4ekL12x3,"Jugadoras,Jugadores",Mala Rodríguez,Alevosía (Explicit Version),FIFA
spotify:track:2wFGhWFe65RfQ1wWUZXs5r,"Irish Blood, English Heart",Morrissey,Morrissey Greatest Hits,FIFA
spotify:track:12v3zi5lfz1E9d5zKy3Rwc,An Die Wand,Nachlader,An Die Wand,FIFA
spotify:track:31MOjWj3CT3dCQsMV2b8Wu,Blue Monday '88,New Order,The Best Of New Order,FIFA
spotify:track:2D8wcF5qJ6522gy2BvhSxq,Augen auf!,OOMPH!,Delikatessen,FIFA
spotify:track:2NYZV9gL7UVlgHt7zJigUu,Beautiful Goal!,Paul Oakenfold,Fussball Fieber 08,FIFA
spotify:track:1BpZ0CCskiX1h23pUNw6SF,World On Fire - Junkie XL Radio Mix,"Sarah McLachlan, Junkie XL",World On Fire,FIFA
spotify:track:4Sfh35NL3BWOyIpB4toKgS,Take Your Mama,Scissor Sisters,Scissor Sisters,FIFA
spotify:track:1ONYfnVyrmuf4D29hTbKTk,Release,Seeed,Music Monks (Limited Edition),FIFA
spotify:track:3Tw6wsnqcBabS9SKDX3HXw,Cientos De Preguntas,Sôber,Reddo,FIFA
spotify:track:159ZqSu3KjblSDur8JezS3,Fit but You Know It,The Streets,Fit But You Know It,FIFA
spotify:track:2w0vW8SxDmEzw6rVL4vLhU,Hot In Da Club,Wayne Marshall,Re-Birth Riddim,FIFA
spotify:track:16QYfJ5Ai9else7OuWTpG1,Sculptured (Airbase Radio Mix),Calanit,Sculptured (Do-Dee-Dee-Deem-Dum),FIFA
spotify:track:67WPJo87paqRGeetetsrGu,What World - Radio Edit,Damien J. Carter,Catwalk Megahits,FIFA
spotify:track:4DvxT49ysc7nV9bGLu7kC0,A Pain That I'm Used To - Jacques Lu Cont Remix,Depeche Mode,A Pain That I'm Used To,FIFA
spotify:track:2aAV8orZctvbDvVJnMDlBR,Never Win,Fischerspooner,Odyssey,FIFA
