﻿Spotify URI,Track Name,Artist Name,Album Name,Game
spotify:track:1wXuogT7bvqnhuWzDBNOdV,Runnin' Wild,Airbourne,Runnin' Wild,NHL
spotify:track:0u8JzRt0TAwSyCl2lPTQmE,Afterlife,Avenged Sevenfold,Avenged Sevenfold,NHL
spotify:track:4hnR3vkREdoAIk5AMIp1E8,Turn Your Back with Anti-Flag,Billy Talent,Turn Your Back w/ Anti-Flag,NHL
spotify:track:0YUh79N1kx9It2sYhG0xWy,Warriors Of Time,Black Tide,Light From Above,NHL
spotify:track:6gHxKXy1f3QinBJQngJ2iN,Hearts Burst into Fire,Bullet For My Valentine,Scream Aim Fire,NHL
spotify:track:2XdOIuv9KNJS2yeu2O1FRu,The Running Free,Coheed and Cambria,The Running Free,NHL
spotify:track:5c8WgLyOX9u4Al1hTP8tzK,Two As One,From First To Last,From First To Last,NHL
spotify:track:1S30kHvkkdMkcuCTGSgS41,Nine In The Afternoon - Radio Mix,Panic! At The Disco,Pretty. Odd.,NHL
spotify:track:5yC9oCxe1moDiKaNx421Uw,Execution Song,Johnossi,Johnossi,NHL
spotify:track:3coMhQQLB5osLJQrDrM4hW,Done Is Done,Millencolin,Machine 15,NHL
spotify:track:3SHxCaqhVMgQ5MDGrObjqo,Do The Panic,Phantom Planet,Raise The Dead,NHL
spotify:track:5E91qh0aLNlgqRPcQ8vy6H,The Dissentience,Protest The Hero,Fortress,NHL
spotify:track:0xxFRkltOJciKuLeLdA7G3,Gilt Complex,Sons And Daughters,The Kiss of the Crocodile (Made In Bound),NHL
spotify:track:7blT8xbagBsBa8GKVCs94N,Cheap And Cheerful,The Kills,Midnight Boom,NHL
spotify:track:5TOXelErjkEwNY0GxCgzR1,Oye Vaya,Earl Greyhound,Suspicious Package,NHL
spotify:track:1jq28NGw6wdtFKx8MBPy6C,Burn It to the Ground,Nickelback,Dark Horse,NHL
spotify:track:4TX98oo7jIqhqeP4KfByFh,Deathsmarch,Cancer Bats,Hail Destroyer,NHL
spotify:track:6X7YGtVtP4NgQERHUq5tyk,Hellions on Parade,CKY,Carver City,NHL
spotify:track:6SlDN489zAvfN2srdMXc7S,Heroes Of Our Time,DragonForce,Ultra Beatdown,NHL
spotify:track:1YWIBrCVIxSrRiFl26wtvu,Anything 'Cept The Truth,Eagles Of Death Metal,Heart On,NHL
spotify:track:5qtwzv99vOr5UTwnTixn7j,Know Your Enemy,Green Day,21st Century Breakdown,NHL
spotify:track:5a2hIQWInPjqkkFiUEgxoX,Peace Sells - Remastered,Megadeth,Peace Sells...But Who's Buying (25th Anniversary),NHL
spotify:track:0MXzEAVNrl3VFrBlJEpXzj,Wake Up!,MeTalkPretty,We Are Strangers,NHL
spotify:track:6i9dXbSk2vPtgciV9ZuRUv,Kids In America,MxPx,On The Cover II,NHL
spotify:track:6jZ4wyxjhblzBMzBbzog01,Into The Light,Papa Roach,Metamorphosis,NHL
spotify:track:5jARoTYmPOASTqw71Q1eR3,Raccoon Eyes,Priestess,Prior To The Fire,NHL
spotify:track:4URprgAeVUsdtvI3CyinRS,The Bravest Kids,Rancid,Let The Dominoes Fall [Expanded Version],NHL
spotify:track:4BZiOihgStiVKMXqL7TzCI,Rock You Like A Hurricane,Scorpions,Bad For Good: The Very Best Of Scorpions,NHL
spotify:track:1ctrJmczPsVgfQv6ZUoALD,Fire It Up,Thousand Foot Krutch,Welcome To The Masquerade,NHL
spotify:track:4F6aOy2hoB1Pj24i1O8xzb,Bottom Of The Well,Airbourne,No Guts. No Glory,NHL
spotify:track:25GC50HslaaruyrKjdu0lP,Your Betrayal,Bullet For My Valentine,Fever,NHL
