﻿Spotify URI,Track Name,Artist Name,Album Name,Game
spotify:track:72arBimTMao2pv0lskTwkR,Party Hard,Andrew W.K.,I Get Wet,NFL
spotify:track:0j1pCFG3xQWRNxaGvzGbyp,The Energy,Audiovent,Dirty Sexy Knights In Paris,NFL
spotify:track:2yoMcEeYVMJcq43XbkA5Rh,Body Crumbles,Dry Cell,Queen Of The Damned (Music From The Motion Picture),NFL
spotify:track:3f9IcbKEeoh8QQY5vmc6f9,Walk Away,The Epidemic,Epidemic,NFL
spotify:track:1uuxocTgCM9wUNrSL8OJuJ,Everyday,Bon Jovi,Bounce - Special Edition,NFL
spotify:track:6sSJMwvxWRXkEcRv1WW1Gx,The Anthem,Good Charlotte,The Anthem,NFL
spotify:track:4HWTg4I0u0oQ6kK1s3Ihti,Awnaw (feat. Marcos of P.O.D.) - Rock Remix,"Nappy Roots, Marcos","Watermelon, Chicken & Gritz",NFL
spotify:track:0SLOiJClXkAZluClYpke95,Get Over It,OK Go,OK Go,NFL
spotify:track:14BV754lz03sUqdWJtEeRo,Suck It Up,(Hed) P.E.,Blackout,NFL
spotify:track:5jaqJZJhkgcChAsn9RcGN1,Fine Again,Seether,Disclaimer II,NFL
spotify:track:6PeMCZfS2YCgSgxBn2BtBE,Mr. Jinx,Quarashi,Mr Jinx,NFL
spotify:track:7KZv5wsDig1WtBeCYdX6nh,Unstable,Adema,Unstable,NFL
spotify:track:2CW5gzMEZY8hOUYKVaFBgX,Taken For A Ride,AM Radio,Radioactive,NFL
spotify:track:5xt7Jqkd2UKL4pro4jEm9R,The Leaving Song Pt. II,AFI,Sing The Sorrow,NFL
spotify:track:4CVZXYC8hOfHHHvbOM0DRM,These Days,Alien Ant Farm,truANT,NFL
spotify:track:7xDxcoP4rexRGNFfBbGWuv,Chapter Four,Avenged Sevenfold,Waking The Fallen,NFL
spotify:track:3lliWm2P4hbTDqBq36yGyk,Feeling This,blink-182,blink-182 (explicit version) [Explicit Version],NFL
spotify:track:1bqu4wmMjsPzLV741g3uAX,Never Scared (feat. Killer Mike & T.I.) - Radio Mix,"Bone Crusher, Killer Mike, T.I.",AttenCHUN!,NFL
spotify:track:3sZklLry8Pz9CNRR5pS0IK,Back In The Mud,Bubba Sparxxx,Deliverance,NFL
spotify:track:7FptsXd6sXLbotfzfoSc49,Give Up The Grunge,Gob,Foot In Mouth Disease,NFL
spotify:track:305WCRhhS10XUcH6AEwZk6,Are You Gonna Be My Girl,Jet,Get Born,NFL
spotify:track:7tDbbfzB1d52lWP8rq8zRZ,Pump It Up,Joe Budden,Joe Budden,NFL
spotify:track:70rOdR0MoKyWQsTGL6JLEh,AKshon (yeah!) - Dirty Album Version,Killer Mike,AKshon (yeah!),NFL
spotify:track:15ysm6oaBXHmNVFD5oZNUq,Roun' the Globe,Nappy Roots,Wooden Leather (Explicit Content U.S. Version),NFL
spotify:track:11flV09Ifcgwhju11IiF9H,Church - Main,OutKast,Speakerboxxx/The Love Below,NFL
spotify:local:Serafin:Day+By+Bay:Day+By+Day:185,Day By Day,Serafin,Day By Bay,NFL
spotify:track:7hbidev4v8qluSwdSqoxHH,Pride,Soil,Redefine,NFL
spotify:track:6VKP3Aru2I3OXMQX2yaMWX,All That's Left,Thrice,The Artist In The Ambulance,NFL
spotify:local:Unloco:Becoming+I:Crashing:203,Crashing,Unloco,Becoming I,NFL
spotify:track:63IIUzd6eJBfCGIcF8MFnJ,Way Away,Yellowcard,Ocean Avenue,NFL
spotify:track:48JMxUhWz9mOqOIZ47y15J,Open Your Eyes,Alter Bridge,One Day Remains,NFL
spotify:track:3tQ6LmYZeoJ4dwkZ3IGoSj,The Clincher,Chevelle,This Type Of Thinking (Could Do Us In),NFL
spotify:local:The+D.O.C.+vs+Earshot::The+Madden+Rematch:170,The Madden Rematch,The D.O.C. vs Earshot,,NFL
spotify:track:63LiOsvf1w1DSbmjbxjh4b,It's Funky Enough - Remastered Single,The D.O.C.,No One Can Do It Better,NFL
spotify:track:45R6DmpsaoqLujIn6qPTPH,Wait,Earshot,Two,NFL
spotify:track:3V57cGMhWx81NpCzITqAjA,From Out Of Nowhere,Faith No More,This Is It: The Best of Faith No More,NFL
spotify:track:7kw6yVmdZGuRcWGi4adXYT,Take Me Out,Franz Ferdinand,Franz Ferdinand,NFL
spotify:track:6nTiIhLmQ3FWhvrGafw2zj,American Idiot,Green Day,American Idiot,NFL
spotify:track:343wkgMyAFKZtZmKW3rWWS,Fool The World,Hazen Street,Hazen Street,NFL
spotify:track:5F7AoCwgftgUdGUgd57RVE,Two-Timing Touch and Broken Bones,The Hives,Tyrannosaurus Hives,NFL
spotify:track:7p5HBV5kqLgw0vK0lQ7eXM,Same Direction,Hoobastank,The Reason,NFL
spotify:track:11fyw4wttNfnBQjx4MWa04,Time Ta Get Dirty,JR Ewing,"EA Sports Soundtrax, Vol. 1",NFL
spotify:track:2LTkVQhAWVSk8J5IVhKQOn,Give It Up,Midtown,Forget What You Know,NFL
spotify:track:2Rxk8iMoY7jnuKYk94T0mR,Alive & Amplified,The Mooney Suzuki,Shaun White Snowboarding: Official Soundtrack,NFL
spotify:track:2TAwQEdqpK6lrer6CIGoo7,This Disaster,New Found Glory,Catalyst (International Version),NFL
spotify:track:3DfbCvG2xxtOa7IseD35oF,Saturday Night,Ozomatli,Street Signs,NFL
spotify:track:1KmdSs9YEgeP0N5X3mJ0s9,Piece By Piece,Strata,The Punisher - The Album (Music From The Motion Picture),NFL
spotify:track:2QKBh4bJzrQBqQ3WufGSaI,Go!,will.i.am,Must B 21,NFL
spotify:track:72Atn7yJuYpwDat0S2WtaH,Last Day of School,Wylde Bunch,Wylde Tymes At Washington High,NFL
spotify:track:3S78eQqtcfZZhjk7RK5MgD,Yung Wun Anthem,Yung Wun,The Dirtiest Thirstiest,NFL
spotify:track:7tSFBes4JG1eMBukE9ZJPs,Tear It Up - Dirty,"Yung Wun, DMX, Lil' Flip, David Banner",Tear It Up (Dirty),NFL
spotify:track:0WwBRdp0zAGwDYJVc9ZBCo,Listen To The DJ,Z-Trip,Shifting Gears (Explicit Version),NFL
spotify:track:0lHSJ0ZP8uUPnJXhMdGjOK,Attack,Thirty Seconds To Mars,A Beautiful Lie,NFL
spotify:track:5nB0zhMAdBf6vY9RxibRjI,Night Drive,The All-American Rejects,Move Along,NFL
spotify:track:3sHH7lklbfpcraDDvYnjo7,Bat Country,Avenged Sevenfold,City Of Evil (PA Version),NFL
spotify:track:0qB5jLzJHDyhMTLcTtzSbG,4 Words (To Choke Upon),Bullet For My Valentine,The Poison (Deluxe Version),NFL
spotify:track:1einVoYyqVh14seuses0cX,Move Around - New EQ,Bump J,Move Around,NFL
spotify:track:7wdVmHjSRJOG78awMaySA0,Welcome Home,Coheed and Cambria,Good Apollo I'm Burning Star IV Volume One: From Fear Through The Eyes Of Madness,NFL
spotify:track:5NpJoEkGbB3sU80zNa2zyA,Ten Thousand Fists,Disturbed,Ten Thousand Fists,NFL
spotify:track:0a7BloCiNzLDD9qSQHh5m7,"Dance, Dance",Fall Out Boy,From Under The Cork Tree,NFL
spotify:track:2SJoURQgsD1BtdEjlAVeNE,Ink,Finch,Say Hello To Sunshine,NFL
spotify:track:3QvcNLv6ljvuU1KD7dSINg,Streetcar,Funeral For A Friend,Hours,NFL
spotify:track:2MKEQhvPb2VaJXjx5X8Yg6,No Way Back,Foo Fighters,In Your Honor,NFL
spotify:track:3ZffCQKLFLUvYM59XKLbVm,Wake Me up When September Ends,Green Day,American Idiot,NFL
spotify:track:0PgVHoSt0Y4FCt8MkznzTK,Pickin' It Up,Hot Hot Heat,Elevator,NFL
spotify:track:5yrtAPrprvrdJDCTSFn91U,Like That,Memphis Bleek,534,NFL
spotify:track:2eBuQgClXJoeLFCg0ThtcU,Cosmopolitan,Nine Black Alps,Everything Is,NFL
spotify:track:3OyKWquwB2mVhBmI11u05e,They Don't Know (feat. Mike Jones),"Paul Wall, Mike Jones",The Peoples Champ,NFL
spotify:track:4tbZ5RUT7cMHnWltxRzXL6,Mind On The Road,Rev Run,Mind On The Road,NFL
spotify:local:Sam+Scarfo::Tear+%27Em+Up:197,Tear 'Em Up,Sam Scarfo,,NFL
spotify:local:Stat+Quo:Statlanta:Rock+Da+Party:242,Rock Da Party,Stat Quo,Statlanta,NFL
spotify:track:6ZP3OBTyU3AsfSyGtCfn7v,Get It Started,Slim Thug,Hidden Gems,NFL
spotify:track:3OXUdVq1TT8WDYQO69meOs,The Beast,Tech N9ne,The Box Set,NFL
